timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1741238277477,586,14 Register Request,200,,User Thread Group 1-16,text,true,,371,296,128,128,http://localhost:8080/authentication/register,586,0,45
1741238277612,467,14 Register Request,200,,User Thread Group 1-33,text,true,,371,280,129,129,http://localhost:8080/authentication/register,465,0,1
1741238277622,443,14 Register Request,200,,User Thread Group 1-34,text,true,,371,270,128,128,http://localhost:8080/authentication/register,437,0,1
1741238277536,499,14 Register Request,200,,User Thread Group 1-25,text,true,,371,301,125,125,http://localhost:8080/authentication/register,498,0,0
1741238277494,570,14 Register Request,200,,User Thread Group 1-21,text,true,,371,278,128,128,http://localhost:8080/authentication/register,570,0,29
1741238277482,622,14 Register Request,200,,User Thread Group 1-7,text,true,,371,274,132,132,http://localhost:8080/authentication/register,620,0,42
1741238277485,589,14 Register Request,200,,User Thread Group 1-20,text,true,,371,287,129,129,http://localhost:8080/authentication/register,589,0,38
1741238277505,613,14 Register Request,200,,User Thread Group 1-22,text,true,,371,273,133,133,http://localhost:8080/authentication/register,608,0,24
1741238277481,644,14 Register Request,200,,User Thread Group 1-1,text,true,,371,298,134,134,http://localhost:8080/authentication/register,635,0,43
1741238277482,646,14 Register Request,200,,User Thread Group 1-11,text,true,,371,283,134,134,http://localhost:8080/authentication/register,646,0,44
1741238277481,669,14 Register Request,200,,User Thread Group 1-3,text,true,,371,278,136,136,http://localhost:8080/authentication/register,668,0,44
1741238277481,687,14 Register Request,200,,User Thread Group 1-8,text,true,,371,296,138,138,http://localhost:8080/authentication/register,685,0,43
1741238277811,361,14 Register Request,200,,User Thread Group 1-53,text,true,,371,287,139,139,http://localhost:8080/authentication/register,361,0,1
1741238277605,571,14 Register Request,200,,User Thread Group 1-32,text,true,,371,275,139,139,http://localhost:8080/authentication/register,564,0,1
1741238277482,702,14 Register Request,200,,User Thread Group 1-19,text,true,,371,284,140,140,http://localhost:8080/authentication/register,702,0,41
1741238277597,598,14 Register Request,200,,User Thread Group 1-31,text,true,,371,293,141,141,http://localhost:8080/authentication/register,595,0,1
1741238277478,736,14 Register Request,200,,User Thread Group 1-17,text,true,,371,297,143,143,http://localhost:8080/authentication/register,736,0,45
1741238277479,760,14 Register Request,200,,User Thread Group 1-12,text,true,,371,295,145,145,http://localhost:8080/authentication/register,760,0,48
1741238277478,772,14 Register Request,200,,User Thread Group 1-5,text,true,,371,288,146,146,http://localhost:8080/authentication/register,771,0,53
1741238277481,777,14 Register Request,200,,User Thread Group 1-10,text,true,,371,269,147,147,http://localhost:8080/authentication/register,774,0,45
1741238277478,791,14 Register Request,200,,User Thread Group 1-4,text,true,,371,282,148,148,http://localhost:8080/authentication/register,791,0,49
1741238277478,853,14 Register Request,200,,User Thread Group 1-15,text,true,,371,297,155,155,http://localhost:8080/authentication/register,851,0,45
1741238277673,665,14 Register Request,200,,User Thread Group 1-39,text,true,,371,284,155,155,http://localhost:8080/authentication/register,665,0,2
1741238277481,880,14 Register Request,200,,User Thread Group 1-14,text,true,,371,290,158,158,http://localhost:8080/authentication/register,880,0,41
1741238277484,887,14 Register Request,200,,User Thread Group 1-9,text,true,,371,276,159,159,http://localhost:8080/authentication/register,886,0,47
1741238277773,598,14 Register Request,200,,User Thread Group 1-49,text,true,,371,291,159,159,http://localhost:8080/authentication/register,598,0,1
1741238277482,894,14 Register Request,200,,User Thread Group 1-13,text,true,,371,268,159,159,http://localhost:8080/authentication/register,864,0,43
1741238277478,909,14 Register Request,200,,User Thread Group 1-6,text,true,,371,275,160,160,http://localhost:8080/authentication/register,907,0,44
1741238277479,908,14 Register Request,200,,User Thread Group 1-2,text,true,,371,275,160,160,http://localhost:8080/authentication/register,907,0,53
1741238277633,758,14 Register Request,200,,User Thread Group 1-35,text,true,,371,280,161,161,http://localhost:8080/authentication/register,758,0,1
1741238277513,888,14 Register Request,200,,User Thread Group 1-23,text,true,,371,286,162,162,http://localhost:8080/authentication/register,887,0,18
1741238277525,877,14 Register Request,200,,User Thread Group 1-24,text,true,,371,290,162,162,http://localhost:8080/authentication/register,877,0,1
1741238277572,851,14 Register Request,200,,User Thread Group 1-29,text,true,,371,287,164,164,http://localhost:8080/authentication/register,849,0,1
1741238277544,962,14 Register Request,200,,User Thread Group 1-26,text,true,,371,291,172,172,http://localhost:8080/authentication/register,962,0,0
1741238277742,765,14 Register Request,200,,User Thread Group 1-46,text,true,,371,273,172,172,http://localhost:8080/authentication/register,765,0,0
1741238277662,848,14 Register Request,200,,User Thread Group 1-38,text,true,,371,280,172,172,http://localhost:8080/authentication/register,847,0,0
1741238277584,939,14 Register Request,200,,User Thread Group 1-30,text,true,,371,272,174,174,http://localhost:8080/authentication/register,937,0,1
1741238277553,978,14 Register Request,200,,User Thread Group 1-27,text,true,,371,286,175,175,http://localhost:8080/authentication/register,978,0,0
1741238277482,1093,14 Register Request,200,,User Thread Group 1-18,text,true,,371,293,179,179,http://localhost:8080/authentication/register,1093,0,44
1741238277793,793,14 Register Request,200,,User Thread Group 1-51,text,true,,371,293,180,180,http://localhost:8080/authentication/register,793,0,0
1741238277826,875,14 Register Request,200,,User Thread Group 1-54,text,true,,371,287,192,192,http://localhost:8080/authentication/register,875,0,1
1741238277784,922,14 Register Request,200,,User Thread Group 1-50,text,true,,371,272,192,192,http://localhost:8080/authentication/register,922,0,1
1741238277647,1134,14 Register Request,200,,User Thread Group 1-36,text,true,,371,278,200,200,http://localhost:8080/authentication/register,1134,0,1
1741238278035,769,14 Register Request,200,,User Thread Group 1-75,text,true,,371,281,202,202,http://localhost:8080/authentication/register,768,0,0
1741238278062,744,14 Register Request,200,,User Thread Group 1-78,text,true,,371,275,202,202,http://localhost:8080/authentication/register,744,0,0
1741238277713,1095,14 Register Request,200,,User Thread Group 1-43,text,true,,371,279,202,202,http://localhost:8080/authentication/register,1095,0,4
1741238277993,816,14 Register Request,200,,User Thread Group 1-71,text,true,,371,272,202,202,http://localhost:8080/authentication/register,816,0,1
1741238277975,847,14 Register Request,200,,User Thread Group 1-69,text,true,,371,274,204,204,http://localhost:8080/authentication/register,847,0,1
1741238277733,1090,14 Register Request,200,,User Thread Group 1-45,text,true,,371,285,204,204,http://localhost:8080/authentication/register,1090,0,2
1741238277803,1027,14 Register Request,200,,User Thread Group 1-52,text,true,,371,266,204,204,http://localhost:8080/authentication/register,1026,0,4
1741238277952,935,14 Register Request,200,,User Thread Group 1-67,text,true,,371,284,210,210,http://localhost:8080/authentication/register,935,0,1
