timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1740117940454,486,1 Register Request,200,,User 1 Thread 1-1,text,true,,371,267,1,1,http://localhost:8080/authentication/register,479,0,23
1740117941475,129,2 Failed Register Request,500,,User 1 Thread 1-1,text,false,,379,266,1,1,http://localhost:8080/authentication/register,127,0,0
1740117942108,420,3 Failed Login Request,500,,User 1 Thread 1-1,text,false,,379,240,1,1,http://localhost:8080/authentication/login,419,0,2
1740117943030,171,4 Login Request,200,,User 1 Thread 1-1,text,true,,539,239,1,1,http://localhost:8080/authentication/login,171,0,2
1740117943707,68,5 Create Google Stock Request,200,,User 1 Thread 1-1,text,true,,383,378,1,1,http://localhost:8080/setup/createStock,67,0,0
1740117944276,55,6 Add Google Stock Request,200,,User 1 Thread 1-1,text,true,,371,391,1,1,http://localhost:8080/setup/addStockToUser,54,0,0
1740117944833,23,7 Create Apple Stock Request,200,,User 1 Thread 1-1,text,true,,383,377,1,1,http://localhost:8080/setup/createStock,23,0,0
1740117945360,25,8 Add Apple Stock Request,200,,User 1 Thread 1-1,text,true,,371,391,1,1,http://localhost:8080/setup/addStockToUser,25,0,0
1740117945888,74,9 Get Stock Portfolio Request,200,,User 1 Thread 1-1,text,true,,487,346,1,1,http://localhost:8080/transaction/getStockPortfolio,74,0,0
1740117946470,29,10 Place Stock Order Request,400,,User 1 Thread 1-1,text,false,"Value in json path '$.success' expected to match regexp 'true', but it did not match: 'false'",385,444,1,1,http://localhost:8080/engine/placeStockOrder,28,0,0
1740117947000,17,11 Place Stock Order Request,400,,User 1 Thread 1-1,text,false,"Value in json path '$.success' expected to match regexp 'true', but it did not match: 'false'",385,444,1,1,http://localhost:8080/engine/placeStockOrder,17,0,2
1740117947520,17,12 Get Stock Portfolio Request,200,,User 1 Thread 1-1,text,false,,487,346,1,1,http://localhost:8080/transaction/getStockPortfolio,16,0,1
1740117948039,87,13 Get Stock Transactions Request,200,,User 1 Thread 1-1,text,false,,369,349,1,1,http://localhost:8080/transaction/getStockTransactions,87,0,0
1740117948152,3,Debug Sampler,200,OK,User 1 Thread 1-1,text,true,,1192,0,1,1,null,0,0,0
1740117948656,101,14 Register Request,200,,User 1 Thread 1-1,text,true,,371,271,1,1,http://localhost:8080/authentication/register,100,0,0
1740117949259,95,15 Login Request,200,,User 1 Thread 1-1,text,true,,539,241,1,1,http://localhost:8080/authentication/login,94,0,0
1740117949856,31,16 Get Stock Prices Request,200,,User 1 Thread 1-1,text,false,,369,343,1,1,http://localhost:8080/transaction/getStockPrices,31,0,0
1740117950391,43,17 Add Money Request,200,,User 1 Thread 1-1,text,true,,371,382,1,1,http://localhost:8080/transaction/addMoneyToWallet,43,0,0
1740117950936,21,18 Get Wallet Balance Request,200,,User 1 Thread 1-1,text,false,,387,345,1,1,http://localhost:8080/transaction/getWalletBalance,21,0,0
1740117951459,10,19 Place Stock Order Request,400,,User 1 Thread 1-1,text,false,"Value in json path '$.success' expected to match regexp 'true', but it did not match: 'false'",385,429,1,1,http://localhost:8080/engine/placeStockOrder,9,0,0
1740117951972,27,20 Get Stock Transactions Request,200,,User 1 Thread 1-1,text,false,,369,349,1,1,http://localhost:8080/transaction/getStockTransactions,27,0,1
1740117952502,25,21 Get Wallet Transactions Request,200,,User 1 Thread 1-1,text,false,,369,350,1,1,http://localhost:8080/transaction/getWalletTransactions,25,0,0
1740117953031,17,22 Get Wallet Balance Request,200,,User 1 Thread 1-1,text,false,,387,345,1,1,http://localhost:8080/transaction/getWalletBalance,17,0,0
1740117953551,15,23 Get Stock Portfolio Request,200,,User 1 Thread 1-1,text,false,,369,346,1,1,http://localhost:8080/transaction/getStockPortfolio,15,0,0
1740117953567,3,Debug Sampler,200,OK,User 1 Thread 1-1,text,true,,1468,0,1,1,null,0,0,0
1740117954071,18,24 Cancel Stock Order Request,400,,User 1 Thread 1-1,text,false,"Value in json path '$.success' expected to match regexp 'true', but it did not match: 'false'",373,385,1,1,http://localhost:8080/engine/cancelStockTransaction,17,0,0
1740117954591,24,25 Get Stock Transactions Request,200,,User 1 Thread 1-1,text,false,,369,349,1,1,http://localhost:8080/transaction/getStockTransactions,24,0,2
1740117955118,13,26 Invalid Token,401,,User 1 Thread 1-1,text,true,,404,222,1,1,http://localhost:8080/transaction/getStockPortfolio,13,0,0
1740117955633,23,27 Invalid Payload Example,200,,User 1 Thread 1-1,text,false,"Value in json path '$.success' expected to match regexp 'false', but it did not match: 'true'",371,383,1,1,http://localhost:8080/transaction/addMoneyToWallet,23,0,0
