timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1740118214412,132,1 Register Request,500,,User 1 Thread 1-1,text,false,"Value in json path '$.success' expected to match regexp 'true', but it did not match: 'false'",379,267,1,1,http://localhost:8080/authentication/register,127,0,22
1740118215077,99,2 Failed Register Request,500,,User 1 Thread 1-1,text,false,,379,266,1,1,http://localhost:8080/authentication/register,99,0,2
1740118215679,95,3 Failed Login Request,500,,User 1 Thread 1-1,text,false,,379,240,1,1,http://localhost:8080/authentication/login,94,0,1
1740118216276,99,4 Login Request,200,,User 1 Thread 1-1,text,true,,539,239,1,1,http://localhost:8080/authentication/login,98,0,3
1740118216881,66,5 Create Google Stock Request,200,,User 1 Thread 1-1,text,true,,383,378,1,1,http://localhost:8080/setup/createStock,66,0,0
1740118217449,24,6 Add Google Stock Request,200,,User 1 Thread 1-1,text,true,,371,391,1,1,http://localhost:8080/setup/addStockToUser,23,0,0
1740118217975,18,7 Create Apple Stock Request,200,,User 1 Thread 1-1,text,true,,384,377,1,1,http://localhost:8080/setup/createStock,17,0,0
1740118218495,17,8 Add Apple Stock Request,200,,User 1 Thread 1-1,text,true,,371,392,1,1,http://localhost:8080/setup/addStockToUser,17,0,0
1740118219014,16,9 Get Stock Portfolio Request,200,,User 1 Thread 1-1,text,false,,965,346,1,1,http://localhost:8080/transaction/getStockPortfolio,16,0,0
1740118219538,12,10 Place Stock Order Request,400,,User 1 Thread 1-1,text,false,"Value in json path '$.success' expected to match regexp 'true', but it did not match: 'false'",385,444,1,1,http://localhost:8080/engine/placeStockOrder,12,0,0
1740118220053,14,11 Place Stock Order Request,400,,User 1 Thread 1-1,text,false,"Value in json path '$.success' expected to match regexp 'true', but it did not match: 'false'",385,445,1,1,http://localhost:8080/engine/placeStockOrder,14,0,2
1740118220569,15,12 Get Stock Portfolio Request,200,,User 1 Thread 1-1,text,false,,965,346,1,1,http://localhost:8080/transaction/getStockPortfolio,15,0,2
1740118221089,17,13 Get Stock Transactions Request,200,,User 1 Thread 1-1,text,false,,369,349,1,1,http://localhost:8080/transaction/getStockTransactions,17,0,0
1740118221143,3,Debug Sampler,200,OK,User 1 Thread 1-1,text,true,,1193,0,1,1,null,0,0,0
1740118221647,96,14 Register Request,500,,User 1 Thread 1-1,text,false,"Value in json path '$.success' expected to match regexp 'true', but it did not match: 'false'",379,271,1,1,http://localhost:8080/authentication/register,96,0,0
1740118222245,96,15 Login Request,200,,User 1 Thread 1-1,text,true,,539,241,1,1,http://localhost:8080/authentication/login,95,0,2
1740118222843,10,16 Get Stock Prices Request,200,,User 1 Thread 1-1,text,false,,369,343,1,1,http://localhost:8080/transaction/getStockPrices,9,0,0
1740118223356,16,17 Add Money Request,200,,User 1 Thread 1-1,text,true,,371,382,1,1,http://localhost:8080/transaction/addMoneyToWallet,16,0,0
1740118223874,12,18 Get Wallet Balance Request,200,,User 1 Thread 1-1,text,false,,387,345,1,1,http://localhost:8080/transaction/getWalletBalance,12,0,0
1740118224390,11,19 Place Stock Order Request,400,,User 1 Thread 1-1,text,false,"Value in json path '$.success' expected to match regexp 'true', but it did not match: 'false'",385,429,1,1,http://localhost:8080/engine/placeStockOrder,11,0,0
1740118224904,18,20 Get Stock Transactions Request,200,,User 1 Thread 1-1,text,false,,369,349,1,1,http://localhost:8080/transaction/getStockTransactions,18,0,1
1740118225425,16,21 Get Wallet Transactions Request,200,,User 1 Thread 1-1,text,false,,369,350,1,1,http://localhost:8080/transaction/getWalletTransactions,16,0,0
1740118225945,13,22 Get Wallet Balance Request,200,,User 1 Thread 1-1,text,false,,387,345,1,1,http://localhost:8080/transaction/getWalletBalance,13,0,0
1740118226461,12,23 Get Stock Portfolio Request,200,,User 1 Thread 1-1,text,false,,369,346,1,1,http://localhost:8080/transaction/getStockPortfolio,11,0,0
1740118226475,2,Debug Sampler,200,OK,User 1 Thread 1-1,text,true,,1468,0,1,1,null,0,0,0
1740118226978,11,24 Cancel Stock Order Request,400,,User 1 Thread 1-1,text,false,"Value in json path '$.success' expected to match regexp 'true', but it did not match: 'false'",373,385,1,1,http://localhost:8080/engine/cancelStockTransaction,10,0,0
1740118227491,17,25 Get Stock Transactions Request,200,,User 1 Thread 1-1,text,false,,369,349,1,1,http://localhost:8080/transaction/getStockTransactions,17,0,2
1740118228010,7,26 Invalid Token,401,,User 1 Thread 1-1,text,true,,404,222,1,1,http://localhost:8080/transaction/getStockPortfolio,7,0,0
1740118228519,22,27 Invalid Payload Example,200,,User 1 Thread 1-1,text,false,"Value in json path '$.success' expected to match regexp 'false', but it did not match: 'true'",371,383,1,1,http://localhost:8080/transaction/addMoneyToWallet,21,0,0
